Vuln_ID,Brand,ProdType,Category,Price USD,YDif,Protocols,TCPIP,GATT,RF,MTP,DSP,RS232,CCX,APDU,DataStorage,PersonalInfo,Location,Auth-Encryption,CommCap,LTE,DSL,HSPA,GSM,Cellular,BLE,Bluetooth,ISM,LPN,Z-Wave,Lutron,Kidde,NFC,ZigBee,USB,MicroSD,SD Card,e-SATA,CF Card,Smart Card,Serial,UART,Coaxial,Console,Fiber,WiFi,Ethernet,CD/DVD,RFID,Infrared,CVSS,CVSS1,CVSS2,CVSS3,CVSS4,CVSS5
CVE-2013-4867,Electronic Arts Karotz,Weather forecast,Smart Home,130,2,"TCPIP, MTP",TCPIP,,,MTP,,,,,Remote,Yes,Yes,None,"WiFi, RFID, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,,,RFID,,6.3,2,2,2,2,2
CVE-2013-4868,Electronic Arts Karotz,Weather forecast,Smart Home,130,2,"TCPIP, MTP",TCPIP,,,MTP,,,,,Remote,Yes,Yes,None,"WiFi, RFID, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,,,RFID,,5.3,1,1,1,1,2
CVE-2014-10374,Fitbit,activity-tracker,Wearable,136,0,GATT,,GATT,,,,,,,Remote,Yes,Yes,Symmetric,Bluetooth,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,WiFi,,,,,6.3,2,2,2,2,2
CVE-2014-7279,Konke,Smart Plug,Smart Home,22,1,TCPIP,TCPIP,,,,,,,,Remote,No,No,Unknown,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,,,,,9.8,3,4,4,4,3
CVE-2015-5729,Samsung,Smart TV,Smart Home,425,1,"TCPIP, MTP",TCPIP,,,MTP,,,,,Remote,Yes,Yes,Symmetric,"WiFi, Ethernet, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2015-8269,Fisher-Price,Smart Toy,Other,56,0,"TCPIP, MTP",TCPIP,,,MTP,,,,,Remote,Yes,Yes,Unknown,"WiFi, USB",,,,,,,,,,,,,,,USB,,,,,,,,,,,WiFi,,,,,7.5,2,4,3,2,3
CVE-2016-10702,Pebble,Smart watch,Wearable,199,2,GATT,,GATT,,,,,,,Remote,Yes,Yes,Symmetric,Bluetooth,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,WiFi,,,,,6.1,2,2,2,2,2
CVE-2016-1136,KDDI,WiFi Router,Telecomm,50,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,5.4,1,1,1,1,2
CVE-2016-1137,KDDI,WiFi Router,Telecomm,50,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.4,2,3,2,2,3
CVE-2016-1138,KDDI,WiFi Router,Telecomm,50,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,4.7,1,1,1,1,2
CVE-2016-1139,KDDI,WiFi Router,Telecomm,50,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,7.5,2,4,3,2,3
CVE-2016-1140,KDDI,WiFi Router,Telecomm,50,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,6.1,2,2,2,2,2
CVE-2016-1141,KDDI,WiFi Router,Telecomm,50,3,TCPIP,TCPIP,,,,,,,,Local,No,No,Symmetric,"WiFi, Ethernet, WAN",,,,,,,,,,,,,,,,,,,,,,,,,,WiFi,Ethernet,,,,4.7,1,1,1,1,2
CVE-2016-1148,Akerun,Smart Lock,Smart Home,578,0,GATT,,GATT,,,,,,,Remote,No,No,Unknown,BLE,,,,,,BLE,,,,,,,,,,,,,,,,,,,,,,,,,8.1,3,4,3,3,3
CVE-2016-6539,Thetrackr,Tracking Device,Other,25,1,GATT,,GATT,,,,,,,Remote,No,Yes,None,Bluetooth,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,3.5,1,1,1,1,1
CVE-2016-6542,Thetrackr,Tracking Device,Other,25,1,GATT,,GATT,,,,,,,Remote,No,Yes,None,Bluetooth,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,3.7,1,1,1,1,1
CVE-2017-13663,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",TCPIP,,RF,MTP,,,,,Remote,Yes,Yes,Unknown,"Ethernet, USB, ISM",,,,,,,,ISM,,,,,,,USB,,,,,,,,,,,,Ethernet,,,,7.5,2,4,3,2,3
CVE-2017-13664,iSmartAlarm,Smart Alarm,Smart Home,100,2,"TCPIP, RF, MTP",TCPIP,,RF,MTP,,,,,Remote,Yes,Yes,Unknown,"Ethernet, USB, ISM",,,,,,,,ISM,,,,,,,USB,,,,,,,,,,,,Ethernet,,,,9.8,3,4,4,4,3
CVE-2017-17860,Samsung,Smart Watch,Wearable,299,2,"TCPIP, GATT, RF",TCPIP,GATT,RF,,,,,,Remote,Yes,Yes,Symmetric,"WiFi, BLE, NFC",,,,,,BLE,,,,,,,NFC,,,,,,,,,,,,,WiFi,,,,,5.7,2,2,2,1,2
CVE-2017-18642,Syska,Smart Light,Smart Home,16,0,GATT,,GATT,,,,,,,Remote,No,No,Symmetric,Bluetooth,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,6.5,2,3,2,2,2
CVE-2017-18819,NETGEAR,Smart Storage,Smart Home,3908,0,"TCPIP, MTP",TCPIP,,,MTP,,,,,Local,Yes,No,Symmetric,"Ethernet, USB, e-SATA",,,,,,,,,,,,,,,USB,,,e-SATA,,,,,,,,,Ethernet,,,,3.3,1,1,1,1,1
CVE-2017-5249,Wink,Smart Home,Telecomm,99,1,"TCPIP, GATT, RF",TCPIP,GATT,RF,,,,,,Remote,Yes,No,Unknown,"WiFi, Ethernet, BLE, Z-Wave, ZigBee, Lutron Clear Connect, Thread, Kidde",,,,,,BLE,,,,Z-Wave,Lutron,Kidde,,ZigBee,,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2017-5250,Wink,Smart Home,Telecomm,99,1,"TCPIP, GATT, RF",TCPIP,GATT,RF,,,,,,Remote,Yes,No,None,"WiFi, Ethernet, BLE, Z-Wave, ZigBee, Lutron Clear Connect, Thread, Kidde",,,,,,BLE,,,,Z-Wave,Lutron,Kidde,,ZigBee,,,,,,,,,,,,WiFi,Ethernet,,,,9.8,3,4,4,4,3
CVE-2017-5251,Wink,Smart Home,Telecomm,99,1,"TCPIP, GATT, RF",TCPIP,GATT,RF,,,,,,Remote,Yes,No,None,"WiFi, Ethernet, BLE, Z-Wave, ZigBee, Lutron Clear Connect, Thread, Kidde",,,,,,BLE,,,,Z-Wave,Lutron,Kidde,,ZigBee,,,,,,,,,,,,WiFi,Ethernet,,,,8.1,3,4,3,3,3
